Gene,cv1,cv2,cv3,cv4,cv5,cv_mean,cv_std,counts
NUF2,0.6237623762376238,0.5522388059701493,0.6218905472636815,0.5870646766169154,0.6567164179104478,0.6083345647997636,0.03566995385118729,503
SF3B2,0.645,0.655,0.71,0.62,0.64,0.654,0.030232432915661932,500
PCF11,0.65,0.705,0.73,0.6582914572864321,0.6633165829145728,0.6813216080402009,0.030873496702944092,499
TIMM23B,0.895,0.8894472361809045,0.8894472361809045,0.8693467336683417,0.8793969849246231,0.8845276381909548,0.009108882650347379,498
ARGLU1,0.615,0.6582914572864321,0.628140703517588,0.6381909547738693,0.6984924623115578,0.6476231155778894,0.02910086479487857,498
SLC1A5,0.4846938775510204,0.4846938775510204,0.5255102040816326,0.49489795918367346,0.5408163265306123,0.5061224489795919,0.02290810644963639,490
RPS12,0.865979381443299,0.8762886597938144,0.8092783505154639,0.845360824742268,0.845360824742268,0.8484536082474227,0.022959853042598028,485
RPA1,0.6436170212765957,0.648936170212766,0.6276595744680851,0.6149732620320856,0.5508021390374331,0.617197633405393,0.03529328685552946,469
EIF2B5,0.8540540540540541,0.8540540540540541,0.8532608695652174,0.875,0.8478260869565217,0.8568390129259695,0.009374106760438178,461
LSM6,0.9297297297297298,0.9297297297297298,0.9293478260869565,0.9456521739130435,0.9510869565217391,0.9371092831962397,0.009354273553654816,461
RPL24,0.8260869565217391,0.875,0.907608695652174,0.875,0.9130434782608695,0.8793478260869565,0.03101161438627631,460
MZT1,0.7032967032967034,0.6538461538461539,0.6043956043956044,0.6428571428571429,0.6593406593406593,0.6527472527472528,0.03173522874328277,455
PPP2R1A,0.5659340659340659,0.532967032967033,0.6153846153846154,0.521978021978022,0.5384615384615384,0.554945054945055,0.03351197952082838,455
KRR1,0.9055555555555556,0.9222222222222223,0.9222222222222223,0.9162011173184358,0.9217877094972067,0.9175977653631285,0.006438824071836177,449
ATP6V1B2,0.672316384180791,0.7062146892655368,0.7457627118644068,0.6949152542372882,0.6647727272727273,0.69679635336415,0.02868703320008382,442
PSMG3,0.5681818181818182,0.6306818181818182,0.5965909090909091,0.49142857142857144,0.5771428571428572,0.5728051948051949,0.04599523778762125,439
HSPA5,0.7443181818181818,0.7657142857142857,0.7485714285714286,0.7714285714285715,0.7257142857142858,0.7511493506493506,0.016270446871238013,438
SRSF11,0.49714285714285716,0.4228571428571429,0.45714285714285713,0.5314285714285715,0.5862068965517241,0.4989556650246306,0.056938298718461046,437
ZMAT2,0.8057142857142857,0.7085714285714285,0.7528735632183908,0.735632183908046,0.7471264367816092,0.7499835796387521,0.0317595833899514,436
GTF2H1,0.8390804597701149,0.8275862068965517,0.8103448275862069,0.8265895953757225,0.8554913294797688,0.8318184838216729,0.014963363730778298,434
CSE1L,0.9190751445086706,0.8728323699421965,0.9248554913294798,0.8901734104046243,0.936046511627907,0.9085965855625757,0.023435627395730366,432
PSMC2,0.7803468208092486,0.7572254335260116,0.7745664739884393,0.8034682080924855,0.75,0.773121387283237,0.018775007825331456,432
GPS1,0.7109826589595376,0.7109826589595376,0.6046511627906976,0.7325581395348837,0.6569767441860465,0.6832302728861406,0.04655653038242509,431
ICE1,0.6569767441860465,0.7151162790697675,0.6802325581395349,0.6900584795321637,0.7485380116959064,0.6981844145246838,0.03133223530796456,429
