PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
DDX41,0.54,0.5,0.58,0.62,0.66,0.66
CNOT1,0.48,0.4,0.52,0.4,0.58,0.54
COPS6,0.52,0.48,0.58,0.56,0.52,0.6799999999999999
HEATR1,0.48,0.6,0.4,0.42,0.5,0.54
HMGCS1,0.46,0.48,0.74,0.52,0.48,0.5700000000000001
POLR3E,0.5,0.52,0.56,0.42,0.54,0.6000000000000001
PSMD7,0.52,0.64,0.6,0.54,0.64,0.54
DHX16,0.48,0.48,0.62,0.62,0.5,0.62
DDX24,0.5,0.46,0.6,0.54,0.58,0.6
RCC1,0.64,0.48,0.54,0.56,0.58,0.6000000000000001
CDC27,0.64,0.5,0.5,0.48,0.54,0.56
POLRMT,0.46,0.58,0.36,0.5,0.38,0.52
MZT1,0.56,0.58,0.42,0.66,0.6,0.6
PSMD12,0.5,0.56,0.5,0.64,0.58,0.62
VARS,0.44,0.54,0.44,0.64,0.62,0.63
EIF4G1,0.5,0.66,0.56,0.56,0.54,0.5700000000000001
RPL13,0.54,0.46,0.66,0.58,0.62,0.56
RPA3,0.4,0.58,0.48,0.66,0.58,0.55
POLR2I,0.52,0.58,0.68,0.6,0.54,0.6599999999999999
COG2,0.44,0.56,0.5,0.6,0.44,0.5700000000000001
LSM6,0.6,0.48,0.56,0.58,0.66,0.61
CHEK1,0.5,0.6,0.62,0.58,0.58,0.63
GFER,0.52,0.58,0.56,0.6,0.62,0.56
RPS3,0.6,0.62,0.68,0.48,0.62,0.52
IGBP1,0.54,0.54,0.56,0.62,0.56,0.5800000000000001
RSL1D1,0.48,0.6,0.46,0.54,0.52,0.5700000000000001
COPZ1,0.5,0.64,0.5,0.54,0.6,0.5700000000000001
WDR36,0.46,0.52,0.52,0.5,0.64,0.51
RPS29,0.46,0.5,0.68,0.58,0.64,0.55
EIF4G2,0.38,0.66,0.58,0.58,0.62,0.7
CHMP6,0.42,0.54,0.62,0.68,0.78,0.69
MED22,0.4,0.54,0.66,0.6,0.66,0.53
RPL3,0.46,0.66,0.62,0.54,0.74,0.75
NUP160,0.44,0.58,0.66,0.6,0.44,0.61
SUPT6H,0.48,0.6,0.72,0.82,0.8,0.6
ANKRD11,0.56,0.44,0.62,0.62,0.54,0.6799999999999999
ZMAT2,0.58,0.64,0.54,0.6,0.58,0.55
ABCE1,0.4,0.64,0.52,0.5,0.52,0.56
DONSON,0.48,0.72,0.58,0.7,0.7,0.6699999999999999
RRM2,0.42,0.58,0.66,0.54,0.64,0.69
SF3B3,0.56,0.52,0.62,0.76,0.7,0.71
PELO,0.56,0.56,0.48,0.52,0.6,0.51
NACA,0.46,0.48,0.48,0.6,0.5,0.56
BCAS2,0.6,0.48,0.52,0.54,0.52,0.5
KRR1,0.52,0.54,0.48,0.52,0.62,0.5900000000000001
CTR9,0.52,0.54,0.76,0.5,0.72,0.71
BAP1,0.48,0.5,0.42,0.62,0.48,0.65
RBMX2,0.52,0.54,0.62,0.58,0.52,0.61
EXOSC2,0.48,0.56,0.54,0.5,0.6,0.5800000000000001
RPL34,0.54,0.36,0.66,0.42,0.64,0.53
LSM2,0.54,0.7,0.54,0.58,0.64,0.62
VPS54,0.36,0.52,0.5,0.66,0.58,0.61
HSPA5,0.4,0.64,0.56,0.64,0.62,0.61
AATF,0.52,0.44,0.66,0.58,0.64,0.6100000000000001
CCT4,0.52,0.62,0.72,0.62,0.36,0.65
MRPS35,0.52,0.54,0.52,0.48,0.54,0.62
HNRNPC,0.48,0.52,0.52,0.54,0.56,0.6000000000000001
PAF1,0.46,0.52,0.6,0.64,0.58,0.63
ICE1,0.46,0.5,0.64,0.52,0.54,0.6699999999999999
RPL18,0.4,0.46,0.58,0.54,0.58,0.6699999999999999
FTSJ3,0.58,0.52,0.52,0.52,0.56,0.5900000000000001
CENPJ,0.44,0.58,0.54,0.5,0.64,0.52
DYNC1H1,0.56,0.46,0.54,0.46,0.46,0.63
SSRP1,0.48,0.62,0.56,0.66,0.58,0.6799999999999999
NRDE2,0.54,0.48,0.68,0.56,0.56,0.59
PSMD1,0.46,0.58,0.52,0.58,0.52,0.59
POLD1,0.52,0.38,0.62,0.52,0.56,0.53
RPS12,0.44,0.54,0.8,0.8,0.76,0.66
BUB3,0.58,0.62,0.54,0.7,0.6,0.61
SLC25A10,0.48,0.48,0.44,0.54,0.5,0.63
