,ptb,mmd,braycurtis,canberra,chebyshev,cityblock,correlation,cosine,euclidean,jensenshannon,minkowski_p1.5,sqeuclidean,mode
28,HSPA9,0.3936203420162201,1.001735550212014,366.0967026759091,5.3191576,565.23975,0.9933715146034956,0.9935205383226275,31.474973678588867,inf,80.24047656457181,990.674,train
29,USP39,0.22631238400936127,1.0568504861356578,376.5581324197003,4.294403,585.4546,1.044041682034731,1.0441313609480858,31.79353904724121,inf,82.03037633334749,1010.8291,train
30,TIMM23B,0.239060640335083,0.9686037361249548,358.58261521681845,5.0345488,563.93445,0.9830464143306017,0.982805659994483,31.708385467529297,inf,80.59329783220981,1005.42175,train
31,TIMM9,0.19302091002464294,0.9333745183373688,359.0028969530223,4.54707,552.76794,0.9497451595962048,0.949979517608881,30.724058151245117,inf,78.45259830402752,943.9677,train
32,INTS2,0.3310486972332001,0.9802761483425733,369.72898237352643,4.2962523,566.1181,0.9634285010397434,0.9633093513548374,30.9389705657959,inf,79.43243206505919,957.2199,train
33,GOLT1B,0.20268625020980835,1.1061214676590394,377.896641477389,5.2432823,603.7582,1.0937269255518913,1.092942364513874,33.61756134033203,inf,85.65575830643968,1130.1405,train
34,NCBP2,0.25689947605133057,1.0113520803212324,370.88351244356056,4.0146914,581.3957,1.0002632832620293,1.0003465685877018,31.81789207458496,inf,81.80449264436311,1012.3783,train
35,ORC1,0.20172974467277527,1.052084856685222,377.35184016457964,4.099165,587.641,1.033945981413126,1.03359205275774,32.32245635986328,inf,82.97214778654475,1044.7412,train
36,DYNC1H1,0.20870354771614075,1.0849492691575138,373.7240218923549,4.6574426,586.4994,1.0821187496185303,1.0822200179100037,32.60791015625,inf,83.23999606572625,1063.2759,train
37,RPL19,0.2959830164909363,1.0039753512996012,374.93288891387414,4.382736,575.7748,1.0006018526037224,1.0004440878110472,31.34864044189453,inf,80.76393382148511,982.73724,train
38,CTR9,0.3137582838535309,1.0149318864692067,366.5288176923652,4.7033024,597.3783,1.0292591508477926,1.0294367875903845,33.17118835449219,inf,84.90301125824472,1100.3276,train
39,PSMB7,0.210251122713089,0.9467508028513664,364.89551428810876,4.535552,569.6519,0.9312568008899689,0.9311376884579659,31.304487228393555,inf,80.3285763015921,979.97095,train
40,NFRKB,0.2146962285041809,1.0086929863401684,371.8346689789852,4.360199,579.2943,0.9868802279233932,0.9865353321656585,31.591745376586914,inf,81.38497768133253,998.03845,train
41,EEF2,0.20368340611457825,1.0632639845549487,375.81383278212644,4.2650447,581.59814,1.0444491282105446,1.044462401419878,32.12378692626953,inf,82.29146054057155,1031.9377,train
42,NLE1,0.23334918916225433,0.9741455957553579,364.7529033655989,4.9785156,562.12805,0.9612655900418758,0.9611477851867676,31.13109016418457,inf,79.59431585956669,969.1448,train
43,GFER,0.20354518294334412,0.9577214553043554,362.7806375241057,4.686731,557.8158,0.9344948455691338,0.934863269329071,30.899629592895508,inf,78.98893913567235,954.787,train
44,PSMD12,0.22708603739738464,0.925417446156135,356.09103678546035,5.267684,580.05664,0.936777375638485,0.9365034624934196,31.831918716430664,inf,81.80109148850778,1013.271,train
45,GAB2,0.26437169313430786,1.059634300117182,381.2596431022035,4.0528393,581.6194,1.0299379266798496,1.030077401548624,31.614952087402344,inf,81.50075499811959,999.50525,train
46,EIF2B2,0.24182482063770294,1.0156294833040225,364.73175639326763,4.2637763,590.61206,1.0196208115667105,1.0198107343167067,32.973018646240234,inf,84.0489019302685,1087.2201,train
47,VPS54,0.19319482147693634,1.051776097030759,375.5276436921082,4.746646,592.4994,1.0601683743298054,1.059997621923685,32.7221565246582,inf,83.8481724835978,1070.7396,train
48,WDR26,0.19061565399169922,0.9368349877124146,357.4562879955922,3.7917123,556.66565,0.9370040819048882,0.937107689678669,30.786842346191406,inf,78.93680641761003,947.82965,train
49,HSPA5,0.27882957458496094,1.0364802902474024,366.3891421199621,4.6136007,576.2378,1.0490114875137806,1.0485806874930859,32.02875518798828,inf,81.96685610083298,1025.8411,train
50,DYNC1I2,0.20005470514297485,0.9799892150002677,360.3112015713705,4.798929,573.88367,0.986885080114007,0.986687476746738,31.943099975585938,inf,81.49337201766275,1020.3617,train
51,XPO1,0.2856180667877197,1.0132557878133317,362.1959799584465,5.349712,588.7909,1.0113057885318995,1.011624257080257,32.645484924316406,inf,83.55254976712997,1065.7278,train
52,PRPF18,0.252733051776886,0.9151732232779458,354.2181025886794,4.132649,540.7667,0.9184986725449562,0.9191998541355133,29.758346557617188,inf,76.3603948387574,885.55927,train
53,RPS15A,0.26168277859687805,0.9321088506762123,352.14961647280074,4.124769,546.2427,0.9435535445809364,0.9437438063323498,30.51685333251953,inf,77.88695956193945,931.27844,train
54,UBA1,0.2519081234931946,1.0232697704514044,369.2182628323591,3.8567748,581.2424,1.0101762283593416,1.0103706922382116,32.10239028930664,inf,82.29957462043679,1030.5635,train
55,DNAJC19,0.24507951736450195,1.0268644939604787,369.5679403982226,4.2324576,578.48395,1.0176082383841276,1.0177958644926548,31.519290924072266,inf,81.25301252164788,993.4657,train
56,COPS8,0.19573143124580383,0.9528434319898378,359.6253431723477,4.9385843,573.13464,0.9564456008374691,0.9566201530396938,31.74199676513672,inf,81.10484708263013,1007.5543,train
57,OXA1L,0.20417839288711548,1.0628101212725334,370.44093015878514,4.8722305,604.75037,1.0472203269600868,1.047096636146307,33.236358642578125,inf,85.36711991028082,1104.6555,train
